2 10
1.450	-1.045847
1.460	-0.049185
1.470	0.652170
1.480	0.633713
1.490	0.633713
1.500	-0.713627
1.510	-2.079423
1.520	-2.411643
1.530	-2.430100
1.540	-2.411643
1.550	-1.396525
1.560	-0.399863
1.570	0.615256
1.580	0.633713
1.590	0.283036
1.600	-0.732083
1.610	-2.079423
1.620	-2.411643
1.630	-2.430100
1.640	-2.411643
1.650	-1.396525
1.660	-0.381406
1.670	0.283036
1.680	0.615256
1.690	0.283036
1.700	-0.713627
1.710	-2.079423
1.720	-2.411643
1.730	-2.393187
1.740	-2.411643
1.750	-1.396525
1.760	-0.381406
1.770	0.615256
1.780	0.615256
1.790	0.615256
1.800	-0.381406
1.810	-2.060966
1.820	-2.411643
1.830	-2.411643
1.840	-2.079423
1.850	-1.378068
1.860	-0.381406
1.870	0.633713
1.880	0.633713
1.890	0.283036
1.900	-0.713627
1.910	-2.079423
1.920	-2.411643
1.930	-2.411643
1.940	-2.411643
1.950	-1.064304
1.960	-0.399863
1.970	0.633713
1.980	0.633713
1.990	0.283036
2.000	-0.732083
2.010	-2.079423
2.020	-2.411643
2.030	-2.411643
2.040	-2.411643
2.050	-1.414981
2.060	-0.399863
2.070	0.633713
2.080	0.633713
2.090	0.283036
2.100	-0.381406
2.110	-2.079423
2.120	-2.079423
2.130	-2.411643
2.140	-2.079423
2.150	-1.414981
2.160	-0.399863
2.170	0.615256
2.180	0.615256
2.190	0.283036
2.200	-0.732083
2.210	-2.079423
2.220	-2.411643
2.230	-2.411643
2.240	-2.079423
2.250	-1.396525
2.260	-0.049185
2.270	0.633713
2.280	0.633713
2.290	0.301492
2.300	-0.732083
2.310	-2.079423
2.320	-2.411643
2.330	-2.411643
2.340	-2.411643
2.350	-1.396525
2.360	-0.381406
2.370	0.633713
2.380	0.965934
2.390	0.283036
2.400	-0.732083
2.410	-2.097879
2.420	-2.411643
2.430	-2.411643
2.440	-2.411643
2.450	-1.396525
2.460	-0.381406
2.470	0.633713
2.480	0.633713
2.490	0.301492
2.500	-0.713627
2.510	-2.079423
2.520	-2.411643
2.530	-2.411643
2.540	-2.430100
2.550	-1.414981
2.560	-0.381406
2.570	0.633713
2.580	0.984390
2.590	0.301492
2.600	-0.732083
2.610	-2.060966
2.620	-2.411643
2.630	-2.411643
2.640	-2.411643
2.650	-1.064304
2.660	-0.381406
2.670	0.615256
2.680	0.633713
2.690	0.283036
2.700	-0.732083
2.710	-2.079423
2.720	-2.430100
2.730	-2.411643
2.740	-2.430100
2.750	-1.396525
2.760	-0.381406
2.770	0.633713
2.780	0.633713
2.790	0.283036
2.800	-0.732083
2.810	-2.079423
2.820	-2.430100
2.830	-2.411643
2.840	-2.079423
